Duration,orig_bytes,resp_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,target
0.015213013,31.0,106.0,1,59,1,134,0
0.414716005,44.0,0.0,2,140,0,0,1
0.414598942,44.0,0.0,2,100,0,0,1
0.413826942,44.0,0.0,2,140,0,0,1
0.413686037,44.0,0.0,2,100,0,0,1
0.01321888,46.0,92.0,1,74,1,120,0
0.015345097,46.0,92.0,1,74,1,120,0
0.330528021,1342.0,1620.0,11,1794,14,2192,0
0.093444824,195.0,976.0,6,503,6,1296,0
0.977981091,214.0,2006857.0,363,19312,1390,2079157,0
0.436071157,2257.0,4905.0,10,2669,13,5437,0
2.050062895,224.0,0.0,8,448,0,0,1
2.049523115,224.0,0.0,8,608,0,0,1
0.011333942,43.0,88.0,1,71,1,116,0
1.519690037,150.0,0.0,3,234,0,0,1
0.02148509,55.0,105.0,1,83,1,133,0
0.000247002,35.0,51.0,1,63,1,79,0
0.34458518,195.0,976.0,6,710,6,1308,0
7.1e-05,6052.0,0.0,5,6192,0,0,1
59.94723201,23040.0,0.0,17,23516,0,0,1
59.94800019,18720.0,0.0,14,19112,0,0,1
0.817911148,214.0,2449033.0,617,32306,1695,2537181,0
0.017510891,47.0,174.0,1,75,1,202,0
3.020575047,700.0,0.0,4,812,0,0,1
3.02404809,700.0,0.0,4,812,0,0,1
0.000590086,97.0,97.0,2,153,2,153,0
0.000491858,97.0,97.0,2,153,2,153,0
6.415140867,4592.0,0.0,7,4928,0,0,1
7.534044981,4592.0,0.0,7,4788,0,0,1
123.2494879,3237.0,9603.0,12,3729,14,10175,0
109.8181601,236.0,1005.0,6,488,5,1217,0
125.24471,1488.0,4934.0,7,1780,9,5306,0
125.074914,2507.0,4974.0,10,2919,9,5346,0
0.059720039,195.0,978.0,6,515,5,1246,0
127.9088562,1444.0,6410.0,11,1896,14,6982,0
0.661904812,214.0,2277588.0,305,16070,1577,2359600,0
240.3281031,4193.0,2539.0,20,5241,26,3899,1
127.9302721,3176.0,65012.0,27,4292,61,67464,0
0.021100044,48.0,48.0,1,76,1,76,0
127.3702869,999.0,14560.0,9,1371,13,15092,0
